Key1,Proyecto,Species,Average of DAP_INDIV,Average of AB_INDIV,Average of H_TOTAL,Average of H_FUSTE,Count of ID_INDV_MU,Average of BIOM_INDIV,Average of CARB_INDIV
1,EIA PPII - KALE sobre YNC,Abarema jupunba (Willd.) Britton & Killip,0.200624978,0.036560278,18.33333333,7,3,19.71682421,9.858412107
2,EIA PPII - KALE sobre YNC,Albizia niopoides (Benth.) Burkart,0.2342182,0.046419188,22.72727273,10.72727273,11,25.10418701,12.55209351
3,EIA PPII - KALE sobre YNC,Alchornea cf. triplinervia (Spreng.) Müll. Arg.,0.175964122,0.028722526,15.8,4.65,10,12.1665648,6.083282399
4,EIA PPII - KALE sobre YNC,Alchornea triplinervia (Spreng.) Mull. Arg.,0.19430166,0.033580174,12.75,6,12,9.8422604,4.9211302
5,EIA PPII - KALE sobre YNC,Amaioua corymbosa Kunt.,0.183128515,0.031348684,8.647058824,2.741176458,17,10.25862963,5.129314815
6,EIA PPII - KALE sobre YNC,Anacardium excelsum (Bertero ex Kunt.h) Skeels,0.289900728,0.066558696,20.75,7.375,4,18.62551665,9.312758327
7,EIA PPII - KALE sobre YNC,Andira chigorodensis R.T. Penn.,0.149048606,0.018184785,12.5,5.650000006,4,13.82222199,6.911110997
8,EIA PPII - KALE sobre YNC,Andira inermis (Wright) DC.,0.122557808,0.012392571,10.09090909,2.018181818,11,10.32455319,5.162276593
9,EIA PPII - KALE sobre YNC,Aniba paraensis (Meissner) Mel.,0.206981003,0.036402336,18,8,4,16.05924988,8.029624939
10,EIA PPII - KALE sobre YNC,Annona cf. reticulata Willd.,0.110195134,0.009635598,10.5,4,2,7.596940279,3.79847014
11,EIA PPII - KALE sobre YNC,Apeiba membranacea Benth.,0.130666208,0.013612561,10.5,5.399999976,2,6.231890917,3.115945458
12,EIA PPII - KALE sobre YNC,Apuleia leiocarpa (Vogel) J.F. Macbr.,0.303349316,0.072272979,25,10,1,35.36516953,17.68258476
13,EIA PPII - KALE sobre YNC,"Aspidosperma cf., darienense Woodson ex Dwyer",0.300802857,0.071064673,25,10,1,24.92964745,12.46482372
14,EIA PPII - KALE sobre YNC,Aspidosperma polyneuron Müll.Arg.,0.16769132,0.022085693,7,5,1,8.400290489,4.200145245
15,EIA PPII - KALE sobre YNC,Astronium graveolens Jacq.,0.254647918,0.058438884,16.33333333,7.333333333,3,22.86561521,11.4328076
16,EIA PPII - KALE sobre YNC,Attalea butyracea (Mutis ex L. f.) Wess. Boer,0.244621158,0.05076235,10,1E-05,2,5.581006527,2.790503263
17,EIA PPII - KALE sobre YNC,Bactris sp.,0.1527244,0.018319212,14,1E-05,1,9.703914642,4.851957321
