Key1,Proyecto,Species,Sum of DAP_INDIV,Sum of AB_INDIV,Sum of H_TOTAL,Sum of H_FUSTE,Count of ID_INDV_MU,Average of BIOM_INDIV,Average of CARB_INDIV
1,EIA PPII - PLATERO sobre YNC,Abarema jupunba (Willd.) Britton & Killip,0.251634181,0.062843092,15.27272727,9.727272727,11,0.143663937,0.07183193
2,EIA PPII - PLATERO sobre YNC,Albizia niopoides (Benth.) Burkart,0.227909997,0.044153143,22.14285714,12.14285714,7,0.087195426,0.043597727
3,EIA PPII - PLATERO sobre YNC,Andira chigorodensis R.T. Penn.,0.149048248,0.018184782,12.5,5.650000006,4,0.006315165,0.00315758
4,EIA PPII - PLATERO sobre YNC,Aniba paraensis (Meissner) Mel.,0.20698075,0.03640235,18,8,4,0.047570497,0.023785225
5,EIA PPII - PLATERO sobre YNC,Apeiba membranacea Benth.,0.130666502,0.01361255,10.5,5.399999976,2,0.001802365,0.000901183
6,EIA PPII - PLATERO sobre YNC,Apuleia leiocarpa (Vogel) J.F. Macbr.,0.303348988,0.072273001,25,10,1,0.186587006,0.0932936
7,EIA PPII - PLATERO sobre YNC,Aspidosperma polyneuron Müll.Arg.,0.167691007,0.0220857,7,5,1,0.00206463,0.00103232
8,EIA PPII - PLATERO sobre YNC,Astronium graveolens Jacq.,0.254648007,0.058438866,16.33333333,7.333333333,3,0.07993889,0.039969463
9,EIA PPII - PLATERO sobre YNC,Bactris sp.,0.152723998,0.018319201,14,1E-05,1,0.00521872,0.00260936
10,EIA PPII - PLATERO sobre YNC,Bellucia pentamera Naudin.,0.144542896,0.018516569,10.62068966,4.327586205,29,0.006540794,0.003270396
11,EIA PPII - PLATERO sobre YNC,Brosimum guianense (Aubl.) Ducke,0.181717001,0.032335394,12.61111111,9.333333333,18,0.031327502,0.015663787
12,EIA PPII - PLATERO sobre YNC,Calophyllum brasiliense Cambess.,0.218024611,0.046348741,16.61111111,8.361111111,18,0.066329314,0.033164626
13,EIA PPII - PLATERO sobre YNC,Casearia aculeata Jacq.,0.180974007,0.025722999,14,1.100000024,1,0.00971915,0.00485958
14,EIA PPII - PLATERO sobre YNC,Casearia corymbosa Kunth,0.108013332,0.009170133,11,3.5,3,0.000951431,0.000475716
15,EIA PPII - PLATERO sobre YNC,Cecropia engleriana Snethl.,0.189256257,0.038319579,16.2027027,9.486486486,74,0.06655038,0.033275167
16,EIA PPII - PLATERO sobre YNC,Cecropia ficifolia Warb. ex Snethl.,0.164183997,0.02308062,18.4,7.3,5,0.024881743,0.012440882
17,EIA PPII - PLATERO sobre YNC,Cecropia membranacea Trécul,0.211746142,0.039688218,10.71195652,7.956521739,184,0.023832026,0.011916014
18,EIA PPII - PLATERO sobre YNC,Cecropia peltata L.,0.137596726,0.015654325,11.27272727,5.318181818,11,0.003158928,0.001579464
19,EIA PPII - PLATERO sobre YNC,Cedrela odorata L.,0.214501127,0.042743645,16.875,8,8,0.102310264,0.051155135
20,EIA PPII - PLATERO sobre YNC,Ceiba pentandra (L.) Gaertn.,0.320219994,0.0805353,20,8,1,0.15117,0.075585
21,EIA PPII - PLATERO sobre YNC,Centrolobium paraense Tul.,0.151197334,0.0180217,15.66666667,6.666666667,3,0.006222323,0.00311116
22,EIA PPII - PLATERO sobre YNC,Chrysophyllum cainito L.,0.201373998,0.037339846,13.5,7.230769231,13,0.047831941,0.023915934
23,EIA PPII - PLATERO sobre YNC,Clathrotropis brunnea Amshoff,0.257958332,0.054862913,17.66666667,9.1,15,0.085729724,0.042864885
24,EIA PPII - PLATERO sobre YNC,Coccoloba acuminata Kunth.,0.160188749,0.0216162,12.5,5.116666665,12,0.006703013,0.003351507
25,EIA PPII - PLATERO sobre YNC,Cordia collococca L.,0.137830252,0.01499395,9,1.800000001,4,0.001712078,0.000856038
26,EIA PPII - PLATERO sobre YNC,Cordia panamensis L.Riley,0.285740909,0.076654669,14.81818182,9.909090909,11,0.156225679,0.078112902
27,EIA PPII - PLATERO sobre YNC,Couratari guianensis Aubl.,0.161988306,0.023977935,11.07692308,5.153846154,13,0.015065475,0.007532733
28,EIA PPII - PLATERO sobre YNC,Croton schiedeanus Schltdl.,0.37910749,0.124920754,16,1.75,2,0.232759856,0.1163797
29,EIA PPII - PLATERO sobre YNC,Crudia glaberrima (Steud) J.F.Macbr.,0.139420003,0.0152665,16,5,1,0.00477275,0.00238637
30,EIA PPII - PLATERO sobre YNC,Cupania americana L.,0.125395528,0.012904996,9.852941176,5.529411765,17,0.002803824,0.001401909
31,EIA PPII - PLATERO sobre YNC,Dendropanax caucanus (Harms) Harms,0.13369,0.0140375,9,7,1,0.00142632,0.00071316
32,EIA PPII - PLATERO sobre YNC,Discophora guianensis Miers,0.222976007,0.043962798,20,8,2,0.094246335,0.047123121
33,EIA PPII - PLATERO sobre YNC,Elaeis guineensis Jacq.,0.477040321,0.180619334,13,3.33334,3,0.324662005,0.162331094
34,EIA PPII - PLATERO sobre YNC,Enterolobium cyclocarpum (Jacq.) Griseb.,0.275019671,0.074702222,12.5,8.833333333,6,0.132993948,0.066497062
35,EIA PPII - PLATERO sobre YNC,Enterolobium schomburgkii (Benth.) Benth.,0.189736824,0.031914583,17.58823529,6.547058826,17,0.047887661,0.023943807
36,EIA PPII - PLATERO sobre YNC,Erythrina fusca Lour.,0.309078991,0.075028896,12,1.700000048,1,0.052082401,0.0260412
37,EIA PPII - PLATERO sobre YNC,Eschweilera coriacea (DC.) S.A.Mori,0.228501003,0.05991761,16.57142857,6.571428571,7,0.273425994,0.136713071
38,EIA PPII - PLATERO sobre YNC,Eugenia victoriana Cuatrec.,0.174434006,0.0238974,18,4,1,0.0134589,0.00672947
39,EIA PPII - PLATERO sobre YNC,Ficus americana Aubl.,0.253091352,0.06033366,12.1,6.229999995,20,0.075791679,0.037895851
