Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
1,EIA PPII - KALE sobre YNC,Adelpha cytherea,4,4,0.37
2,EIA PPII - KALE sobre YNC,Anthanassa frisia,5,5,0.26
3,EIA PPII - KALE sobre YNC,Archaeoprepona demophon,5,5,1.83
4,EIA PPII - KALE sobre YNC,Artibeus jamaicensis,5,5,1.05
5,EIA PPII - KALE sobre YNC,Artibeus lituratus,3,3,3
6,EIA PPII - KALE sobre YNC,Caligo illioneus,31,31,2.77
7,EIA PPII - KALE sobre YNC,Caligo telamonius,8,8,2.1
8,EIA PPII - KALE sobre YNC,Callicore pitheas,18,18,1.26
9,EIA PPII - KALE sobre YNC,Canthon juvencus,462,462,11.30001
10,EIA PPII - KALE sobre YNC,Carollia castanea,26,26,10.529
11,EIA PPII - KALE sobre YNC,Carollia perspicillata,82,82,48.282
12,EIA PPII - KALE sobre YNC,Cephalotes atratus,8,8,2.5
13,EIA PPII - KALE sobre YNC,Colobura dirce,19,19,2.58
14,EIA PPII - KALE sobre YNC,Coprophanaeus corythus,19,19,1.46006
15,EIA PPII - KALE sobre YNC,Coprophanaeus gamezi,2,2,0.61
16,EIA PPII - KALE sobre YNC,Cuniculus paca,61,61,1.872
17,EIA PPII - KALE sobre YNC,Dasypus novemcinctus,49,49,2.939
18,EIA PPII - KALE sobre YNC,Dichotomius agenor,90,90,17.11004
19,EIA PPII - KALE sobre YNC,Dolichoderus bispinosus,323,323,21.23
20,EIA PPII - KALE sobre YNC,Dryadula phaetusa,1,1,0.2
21,EIA PPII - KALE sobre YNC,Dryas iulia,1,1,0.2
22,EIA PPII - KALE sobre YNC,Ectatomma ruidum,218,218,29.68
23,EIA PPII - KALE sobre YNC,Ectatomma tuberculatum,60,60,12.66
24,EIA PPII - KALE sobre YNC,Glossophaga soricina,3,3,1.417
25,EIA PPII - KALE sobre YNC,Hamadryas feronia,11,11,2.54
26,EIA PPII - KALE sobre YNC,Heliconius erato,8,8,1.11
27,EIA PPII - KALE sobre YNC,Heliconius hecale,3,3,0.3
