Key,Punto de Muestro,Average of DENS_CANTI,Count of UNIDAD_DEN,Sum of ABUND_REL
1,ATARAANAELMTLLHLO1,,,101
2,ATARAANAELMTLLHLO10,,,30
3,ATARAANAELMTLLHLO11,,,79
4,ATARAANAELMTLLHLO12,,,124
5,ATARAANAELMTLLHLO13,,,34
6,ATARAANAELMTLLHLO14,,,10
7,ATARAANAELMTLLHLO15,,,18
8,ATARAANAELMTLLHLO16,,,40
9,ATARAANAELMTLLHLO17,,,31
10,ATARAANAELMTLLHLO19,,,63
11,ATARAANAELMTLLHLO2,,,65
12,ATARAANAELMTLLHLO20,,,80
13,ATARAANAELMTLLHLO21,,,34
14,ATARAANAELMTLLHLO22,,,303
15,ATARAANAELMTLLHLO23,,,41
16,ATARAANAELMTLLHLO24,,,15
17,ATARAANAELMTLLHLO25,,,106
18,ATARAANAELMTLLHLO26,,,28
19,ATARAANAELMTLLHLO27,,,34
20,ATARAANAELMTLLHLO3,,,28
21,ATARAANAELMTLLHLO4,,,72
22,ATARAANAELMTLLHLO5,,,28
23,ATARAANAELMTLLHLO6,,,17
24,ATARAANAELMTLLHLO7,,,52
25,ATARAANAELMTLLHLO8,,,75
26,ATARAANAELMTLLHLO9,,,38
27,ATARAANAELMTSHLO1,,,64
28,ATARAANAELMTSHLO11,,,61
29,ATARAANAELMTSHLO11A,,,111
30,ATARAANAELMTSHLO14,,,66
31,ATARAANAELMTSHLO16,,,49
32,ATARAANAELMTSHLO19,,,100
33,ATARAANAELMTSHLO2,,,4
34,ATARAANAELMTSHLO20,,,66
35,ATARAANAELMTSHLO21,,,7
36,ATARAANAELMTSHLO22,,,2
37,ATARAANAELMTSHLO23,,,22
38,ATARAANAELMTSHLO24,,,20
39,ATARAANAELMTSHLO25,,,21
40,ATARAANAELMTSHLO26,,,34
41,ATARAANAELMTSHLO27,,,32
42,ATARAANAELMTSHLO3,,,2
43,ATARAANAELMTSHLO4,,,41
44,ATARAANAELMTSHLO8,,,13
45,ATARAANAELMTSHLO9,,,90
46,ATARAANAELMTSLHLO10,,,65
47,M21-05250,31.84615385,13,200.1
48,M21-05251,26.7804878,41,299.9
49,M21-05252,29.35714286,28,300.4
50,M21-05517,13.6875,16,300.2
51,M21-05518,13,8,300
52,M21-05551,24.81818182,22,299.6
53,M21-05650,9.352941176,17,299.8
54,M21-05651,7.133333333,15,200.1
55,M21-05652,9.166666667,24,300.3
56,M21-05653,14.125,8,200
57,M21-05659,5.6,10,200
58,M21-05660,23.27272727,11,300.1
59,M21-05687,7.386206897,29,400.3
60,M21-05688,19.875,24,199.9
61,M21-05689,8,14,199.9
62,M21-05765,18.8,5,200
63,M21-05766,6.141379345,29,400.3
64,M21-05771,9.68825,28,500.1
65,M21-05776,12.6,12,499.9
66,M21-05782,24.9375,16,299.8
67,M21-05786,29.58333333,48,300.1
68,M21-05787,13.36734694,49,300.3
69,M21-06252,2,3,200
70,M21-06584,18.68709091,22,300
71,M21-06585,16.12352947,17,200.2
72,M21-06586,12.18143272,18,465.7
73,M21-06587,13.57391304,23,399.9
74,M21-06588,58.15424138,29,439.5
75,M21-07803,19.16666667,6,200.1
76,M21-07804,67.13793103,29,299.6
77,M21-07805,3.571428571,7,200
78,M21-07806,10.25,4,200
79,M21-07807,7.363636364,11,299.9
80,M21-07811,9.411764706,17,300.1
81,M21-07812,7,8,200
82,M21-07813,8.4,5,200
83,M21-07834,12,6,200
84,M21-07835,9.25,4,99.9
85,M21-07837,7.894736842,19,200.3
86,M21-07838,4.214285714,14,200
87,M21-07860,9.75,12,200.2
88,M21-07861,11.63636364,11,300
89,M21-07862,3.080307692,13,400.2
90,M21-07863,6.147904762,21,399.9
91,M21-07864,4.285166667,18,500.3
92,M21-07865,6.805142857,14,400.1
93,M21-07866,5.149642857,14,399.8
94,M21-07867,9.371341463,41,499.8
95,M21-07868,16.61538462,26,200.1
96,M21-07869,3.242761905,42,400.4
97,M21-07870,11.375,32,199.4
98,M21-07873,15.2,15,300.2
99,M21-07874,11.11111111,18,199.6
100,M21-07875,2.6,10,100
101,M21-07876,13.58823529,17,300
102,M21-07877,8.789473684,19,199.9
103,M21-07878,8.205882353,34,299.8
104,M21-07879,13.44444444,9,299.9
105,M21-07881,11.00748276,29,499.9
106,M21-07882,2,1,100
107,M21-07883,2,3,200
108,M21-07884,2,1,100
109,M21-08038,9.379266667,30,399.7
110,M21-08041,5.2856,25,500.1
111,M21-08042,8,1,20
112,REMTLLHLE1,,,50
113,REMTLLHLE2,,,16
114,REMTLLHLE3,,,288
115,REMTLLHLE4,,,84
116,REMTLLHLE5,,,424
117,REMTLLHLE6,,,40
118,REMTLLHLE7,,,8
119,REMTLLHLE8,,,8
120,REMTLLHLE9,,,409
121,REMTSHLE1,,,144
122,REMTSHLE2,,,141
123,REMTSHLE3,,,193
124,REMTSHLE4,,,167
125,REMTSHLE5,,,42
126,REMTSHLE6,,,81
127,REMTSHLE7,,,3
128,REMTSHLE8,,,3
129,REMTSHLE9,,,19
