Key,Punto,ABUND_REL
1,Abramites eques,4
2,Ageneiosus pardalis,1
3,Ancistrus caucanus,10
4,Andinoacara latifrons,202
5,Apteronotus cf mariae,1
6,Apteronotus sp.,1
7,Argopleura magdalenensis,10
8,Astyanax magdalenae,537
9,Astyanax sp.,480
10,Brachyhypopomus occidentalis,11
11,Brycon moorei,9
12,Bunocephalus colombianus,32
13,Caquetaia kraussii,340
14,Centrochir crocodili,3
15,Characidium zebra,33
16,Creagrutus magdalenae,1
17,Creagrutus sp.,9
18,Ctenolucius hujeta,52
19,Curimata mivartii,1
20,Cynodonichthys magdalenae,44
21,Cynopotamus magdalenae,2
22,Cyphocharax magdalenae,690
23,Eigenmannia sp.,59
24,Gasteropelecus maculatus,9
25,Geophagus steindachneri,2
26,Gephyrocharax melanocheir,69
27,Gilbertolus alatus,25
28,Hoplias malabaricus,47
29,Hoplosternum magdalenae,41
30,Hypostomus hondae,24
31,Kronoheros umbriferus,20
32,Leporinus striatus,1
33,Loricariidae,3
34,Megaleporinus muyscorum,3
35,Megalonema xanthum,11
36,Nanocheirodon insignis,65
37,Oreochromis niloticus,5
38,Pimelodella chagresi,2
39,Pimelodus grosskopfii,19
40,Pimelodus sp.,1
41,Pimelodus yuma,22
42,Poecilia caucana,582
43,Prochilodus magdalenae,35
44,Pseudopimelodus atricaudus,3
45,Pseudoplatystoma magdaleniatum,1
46,Rhamdia guatemalensis,57
47,Rineloricaria magdalenae,191
48,Roeboides dayi,600
49,Salminus affinis,3
50,Sorubim cuspicaudus,3
51,Sternopygus aequilabiatus,2
52,Sturisomatichthys panamensis,33
53,Synbranchus marmoratus,4
54,Trachelyopterus insignis,78
55,Trichopodus pectoralis,22
56,Triportheus magdalenae,21
