Key,Proyecto,Punto,DENS_CANTI,UNIDAD_DEN,ABUND_REL
1,EIA PPII - KALE sobre YNC,Sup_hle1,12.89028571,35,894.2
2,EIA PPII - KALE sobre YNC,Sup_hle2,8.932609974,39,1022.6
3,EIA PPII - KALE sobre YNC,Sup_hle3,9.495926829,41,1381.2
4,EIA PPII - KALE sobre YNC,Sup_hle4,41.43593023,43,1090.6
5,EIA PPII - KALE sobre YNC,Sup_hle5,11.16758068,31,1066
6,EIA PPII - KALE sobre YNC,Sup_hle6,8.0332143,70,1021.1
7,EIA PPII - KALE sobre YNC,Sup_hle7,9.528431034,58,910.8
8,EIA PPII - KALE sobre YNC,Sup_hle8,9.196844828,58,911.2
9,EIA PPII - KALE sobre YNC,Sup_hle9,7.657837838,37,1428
10,EIA PPII - KALE sobre YNC,Sup_hlo1,9.268292683,41,765.4
11,EIA PPII - KALE sobre YNC,Sup_hlo10,25.48648649,37,695.3
12,EIA PPII - KALE sobre YNC,Sup_hlo11,16.65625,32,539.9
13,EIA PPII - KALE sobre YNC,Sup_hlo11a,8.807692308,26,511.1
14,EIA PPII - KALE sobre YNC,Sup_hlo12,11.11111111,18,323.6
15,EIA PPII - KALE sobre YNC,Sup_hlo13,67.13793103,29,333.6
16,EIA PPII - KALE sobre YNC,Sup_hlo14,18.61538462,26,676.3
17,EIA PPII - KALE sobre YNC,Sup_hlo15,9.25,4,117.9
18,EIA PPII - KALE sobre YNC,Sup_hlo16,8,16,489
19,EIA PPII - KALE sobre YNC,Sup_hlo17,3.242761905,42,431.4
20,EIA PPII - KALE sobre YNC,Sup_hlo19,23.68656716,67,663
21,EIA PPII - KALE sobre YNC,Sup_hlo2,21.77777778,27,568.6
22,EIA PPII - KALE sobre YNC,Sup_hlo20,11.25301205,83,746.1
23,EIA PPII - KALE sobre YNC,Sup_hlo21,16.96774194,31,441.1
24,EIA PPII - KALE sobre YNC,Sup_hlo22,6.851851852,27,704.8
25,EIA PPII - KALE sobre YNC,Sup_hlo23,2,3,263
26,EIA PPII - KALE sobre YNC,Sup_hlo24,2,4,335
27,EIA PPII - KALE sobre YNC,Sup_hlo25,2,1,227
28,EIA PPII - KALE sobre YNC,Sup_hlo26,17.51851852,27,462.1
29,EIA PPII - KALE sobre YNC,Sup_hlo27,20.8,60,566.2
30,EIA PPII - KALE sobre YNC,Sup_hlo3,9.736842105,19,629.9
31,EIA PPII - KALE sobre YNC,Sup_hlo4,12.83333333,12,513
32,EIA PPII - KALE sobre YNC,Sup_hlo5,11.63636364,11,328
33,EIA PPII - KALE sobre YNC,Sup_hlo6,3.571428571,7,217
34,EIA PPII - KALE sobre YNC,Sup_hlo7,13.58823529,17,352
35,EIA PPII - KALE sobre YNC,Sup_hlo8,15.18181818,22,588.3
36,EIA PPII - KALE sobre YNC,Sup_hlo9,7.1875,16,348.1
37,EIA PPII - KALE sobre YNC,Sup_Slo1,15.89583333,48,499.2
