Key,Proyecto,Punto,DENS_CANTI,UNIDAD_DEN,ABUND_REL
1,EIA PPII - PLATERO sobre YNC,Sup_hle1,12.89028571,35,700.2
2,EIA PPII - PLATERO sobre YNC,Sup_hle2,8.932609974,39,865.6
3,EIA PPII - PLATERO sobre YNC,Sup_hle3,9.495926829,41,900.2
4,EIA PPII - PLATERO sobre YNC,Sup_hle4,41.43593023,43,839.6
5,EIA PPII - PLATERO sobre YNC,Sup_hle5,11.16758068,31,600
6,EIA PPII - PLATERO sobre YNC,Sup_hlo10,25.48648649,37,600.3
7,EIA PPII - PLATERO sobre YNC,Sup_hlo11,16.65625,32,399.9
8,EIA PPII - PLATERO sobre YNC,Sup_hlo11a,8.807692308,26,400.1
9,EIA PPII - PLATERO sobre YNC,Sup_hlo12,11.11111111,18,199.6
10,EIA PPII - PLATERO sobre YNC,Sup_hlo14,18.61538462,26,600.3
11,EIA PPII - PLATERO sobre YNC,Sup_hlo15,9.25,4,99.9
12,EIA PPII - PLATERO sobre YNC,Sup_hlo16,8,16,400
13,EIA PPII - PLATERO sobre YNC,Sup_hlo17,3.242761905,42,400.4
14,EIA PPII - PLATERO sobre YNC,Sup_hlo2,21.77777778,27,499.6
15,EIA PPII - PLATERO sobre YNC,Sup_hlo4,12.83333333,12,400
16,EIA PPII - PLATERO sobre YNC,Sup_hlo7,13.58823529,17,300
17,EIA PPII - PLATERO sobre YNC,Sup_hlo8,15.18181818,22,500.3
18,EIA PPII - PLATERO sobre YNC,Sup_hlo9,7.1875,16,220.1
19,EIA PPII - PLATERO sobre YNC,Sup_Slo1,15.89583333,48,499.2
20,EIA PPII - PLATERO sobre YNC,M9,11.69230769,13,500
21,EIA PPII - PLATERO sobre YNC,M2,470.2666667,30,692
22,EIA PPII - PLATERO sobre YNC,M1,578.7692308,26,602
23,EIA PPII - PLATERO sobre YNC,M5,16.70588235,34,600
24,EIA PPII - PLATERO sobre YNC,M4,342.9473684,38,689
25,EIA PPII - PLATERO sobre YNC,M3,14.13636364,44,600
26,EIA PPII - PLATERO sobre YNC,M12,14.69230769,26,400
27,EIA PPII - PLATERO sobre YNC,M10,296.8333333,36,655
28,EIA PPII - PLATERO sobre YNC,M11,18.41176471,34,600
29,EIA PPII - PLATERO sobre YNC,M13,430.1967213,61,564
30,EIA PPII - PLATERO sobre YNC,M6,467.9285714,28,811
31,EIA PPII - PLATERO sobre YNC,M8,9.666666667,30,600
32,EIA PPII - PLATERO sobre YNC,M7,459.6136364,44,789
33,EIA PPII - PLATERO sobre YNC,M14,605.9433962,53,768
34,EIA PPII - PLATERO sobre YNC,M15,12,13,600
35,EIA PPII - PLATERO sobre YNC,M23,16.21052632,38,600
36,EIA PPII - PLATERO sobre YNC,M17,6.8,10,400
37,EIA PPII - PLATERO sobre YNC,M18,11.08695652,23,500
38,EIA PPII - PLATERO sobre YNC,M21,239.4883721,43,671
39,EIA PPII - PLATERO sobre YNC,M43,482.7727273,44,917
40,EIA PPII - PLATERO sobre YNC,M50,329.5,72,897
41,EIA PPII - PLATERO sobre YNC,M44,397,31,883
42,EIA PPII - PLATERO sobre YNC,M22,428.14,50,756
43,EIA PPII - PLATERO sobre YNC,M47,374.9259259,27,484
44,EIA PPII - PLATERO sobre YNC,M41,196.0068108,37,888
45,EIA PPII - PLATERO sobre YNC,M38,654.2173913,23,300
46,EIA PPII - PLATERO sobre YNC,CAP,2.2,5,200
47,EIA PPII - PLATERO sobre YNC,M37,110.7105263,38,307
48,EIA PPII - PLATERO sobre YNC,M19,219.5581395,43,777
49,EIA PPII - PLATERO sobre YNC,M20,321.625,32,716
50,EIA PPII - PLATERO sobre YNC,M48,107,63,629
51,EIA PPII - PLATERO sobre YNC,M46,183.5176471,85,688
52,EIA PPII - PLATERO sobre YNC,M49,154.3221167,60,4050.163981
53,EIA PPII - PLATERO sobre YNC,M16,9.342857143,35,600
54,EIA PPII - PLATERO sobre YNC,M24,611.8055556,36,718
55,EIA PPII - PLATERO sobre YNC,M28,17.11538462,26,500
56,EIA PPII - PLATERO sobre YNC,M25,488.2954545,44,548
57,EIA PPII - PLATERO sobre YNC,M26,3.142857143,7,300
58,EIA PPII - PLATERO sobre YNC,M27B,541.8372093,43,712
59,EIA PPII - PLATERO sobre YNC,M40,208.0728475,59,1159
60,EIA PPII - PLATERO sobre YNC,M29,10.30773973,73,900
61,EIA PPII - PLATERO sobre YNC,M30,7.901862069,58,1000
62,EIA PPII - PLATERO sobre YNC,M31,13.85674545,55,1000
63,EIA PPII - PLATERO sobre YNC,M45,204.75,104,1296
64,EIA PPII - PLATERO sobre YNC,M42,8.509433962,53,787.0689655
65,EIA PPII - PLATERO sobre YNC,M32,9.007779412,68,900
66,EIA PPII - PLATERO sobre YNC,M33,8.382363636,55,800
67,EIA PPII - PLATERO sobre YNC,M34,8.808,36,1000
68,EIA PPII - PLATERO sobre YNC,M35,5.778163636,55,1000
69,EIA PPII - PLATERO sobre YNC,M51,325.761,50,1335
70,EIA PPII - PLATERO sobre YNC,M52,792.4651163,43,471
71,EIA PPII - PLATERO sobre YNC,CA1,2,3,100
72,EIA PPII - PLATERO sobre YNC,M54,723.8333333,18,214
73,EIA PPII - PLATERO sobre YNC,M53,667.1666667,12,257
