Key,Proyecto,Punto,Sum of NUM_OTU,Sum of NUM_REP,Sum of N_LECT_TOT
1,EIA PPII - KALE sobre YNC,Cajuela 29,800,6,358059
2,EIA PPII - KALE sobre YNC,Cajuela 3 via,321,2,147501
3,EIA PPII - KALE sobre YNC,Sup_hle2,205,6,321101
4,EIA PPII - KALE sobre YNC,Sup_hle3,326,6,492736
5,EIA PPII - KALE sobre YNC,Sup_hle5,455,6,466575
6,EIA PPII - KALE sobre YNC,Sup_hle7,873,6,437171
7,EIA PPII - KALE sobre YNC,Sup_hle8,705,6,485675
8,EIA PPII - KALE sobre YNC,Sup_hlo19,455,6,338263
9,EIA PPII - KALE sobre YNC,Sup_hlo2,2352,6,281983
10,EIA PPII - KALE sobre YNC,Sup_hlo22,4187,6,122727
11,EIA PPII - KALE sobre YNC,Sup_hlo23,497,6,407421
12,EIA PPII - KALE sobre YNC,Sup_hlo24,322,6,480986
13,EIA PPII - KALE sobre YNC,Sup_hlo25,280,6,476129
14,EIA PPII - KALE sobre YNC,Sup_hlo4,2025,12,627642
15,EIA PPII - KALE sobre YNC,Sup_Slo1,341,6,485263
