Key,Projecto,Punto,Sum of NUM_OTU,Sum of NUM_REP,Sum of N_LECT_TOT
1,EIA PPII - KALE sobre YNC,Punto 1 Replica 1,189,2,92463
2,EIA PPII - KALE sobre YNC,Punto 1 Replica 2,313,2,144309
3,EIA PPII - KALE sobre YNC,Punto 1 Replica 3,298,2,121287
4,EIA PPII - KALE sobre YNC,Punto 6 Replica 2,321,2,147501
5,EIA PPII - KALE sobre YNC,HLO 2 - Replica 1,1998,2,154
6,EIA PPII - KALE sobre YNC,HLO 2 - Replica 2,264,2,136029
7,EIA PPII - KALE sobre YNC,HLO 2 - Replica 3,90,2,145800
8,EIA PPII - KALE sobre YNC,HLO 4 - Replica 1,181,2,111681
9,EIA PPII - KALE sobre YNC,HLO 4 - Replica 2,181,2,111598
10,EIA PPII - KALE sobre YNC,HLO 4 - Replica 3,203,2,117550
11,EIA PPII - KALE sobre YNC,HLO 10 - Replica 1,245,2,132978
12,EIA PPII - KALE sobre YNC,HLO 10 - Replica 2,1015,2,21926
13,EIA PPII - KALE sobre YNC,HLO 10 - Replica 3,200,2,131909
14,EIA PPII - KALE sobre YNC,HLO 19 - Replica 1,122,2,86598
15,EIA PPII - KALE sobre YNC,HLO 19 - Replica 2,180,2,122727
16,EIA PPII - KALE sobre YNC,HLO 19 - Replica 3,153,2,128938
17,EIA PPII - KALE sobre YNC,HLO 22 - Replica 1,1998,2,11
18,EIA PPII - KALE sobre YNC,HLO 22 - Replica 2,1998,2,9426
19,EIA PPII - KALE sobre YNC,HLO 22 - Replica 3,191,2,113290
20,EIA PPII - KALE sobre YNC,HLO 23 - Replica 1,263,2,132536
21,EIA PPII - KALE sobre YNC,HLO 23 - Replica 2,124,2,134304
22,EIA PPII - KALE sobre YNC,HLO 23 - Replica 3,110,2,140581
23,EIA PPII - KALE sobre YNC,HLO 24 - Replica 1,108,2,152643
24,EIA PPII - KALE sobre YNC,HLO 24 - Replica 2,117,2,178266
25,EIA PPII - KALE sobre YNC,HLO 24 - Replica 3,97,2,150077
26,EIA PPII - KALE sobre YNC,HLO 25 - Replica 1,116,2,157750
27,EIA PPII - KALE sobre YNC,HLO 25 - Replica 2,68,2,155795
28,EIA PPII - KALE sobre YNC,HLO 25 - Replica 3,96,2,162584
29,EIA PPII - KALE sobre YNC,SLO 1 - Replica 1,118,2,172010
30,EIA PPII - KALE sobre YNC,SLO 1 - Replica 2,114,2,151086
31,EIA PPII - KALE sobre YNC,SLO 1 - Replica 3,109,2,162167
32,EIA PPII - KALE sobre YNC,HLE 2 - Replica 1,95,2,147631
33,EIA PPII - KALE sobre YNC,HLE 2 - Replica 2,94,2,153431
34,EIA PPII - KALE sobre YNC,HLE 2 - Replica 3,16,2,20039
35,EIA PPII - KALE sobre YNC,HLE 3 - Replica 1,99,2,167388
36,EIA PPII - KALE sobre YNC,HLE 3 - Replica 2,115,2,175042
37,EIA PPII - KALE sobre YNC,HLE 3 - Replica 3,112,2,150306
38,EIA PPII - KALE sobre YNC,HLE 5 - Replica 1,301,2,134748
39,EIA PPII - KALE sobre YNC,HLE 5 - Replica 2,74,2,175005
40,EIA PPII - KALE sobre YNC,HLE 5 - Replica 3,80,2,156822
41,EIA PPII - KALE sobre YNC,HLE 7 - Replica 1,222,2,159115
42,EIA PPII - KALE sobre YNC,HLE 7 - Replica 2,323,2,138278
43,EIA PPII - KALE sobre YNC,HLE 7 - Replica 3,328,2,139778
44,EIA PPII - KALE sobre YNC,HLE 8 - Replica 1,183,2,180558
45,EIA PPII - KALE sobre YNC,HLE 8 - Replica 2,346,2,154583
46,EIA PPII - KALE sobre YNC,HLE 8 - Replica 3,176,2,150534
